model_name,num_layers,num_neurons,num_epochs,learning_rate,batch_size,train_loss,train_mae,train_rmse,training_r2,val_loss,val_mae,val_rmse,val_r2,training_time
model 58,1,64,100,0.0005,128,0.1459227055311203,0.30030274391174316,0.38199830055236816,0.9338356256484985,0.043295718729496,0.16685593128204346,0.20807623863220215,0.980911374092102,8.431683540344238
model 59,1,64,100,0.0005,32,0.16967076063156128,0.325347363948822,0.41191110014915466,0.9230679869651794,0.04110029712319374,0.16010276973247528,0.20273208618164062,0.9818792939186096,18.864148378372192
model 60,1,64,100,0.0005,64,0.14157548546791077,0.29505154490470886,0.37626516819000244,0.9358068704605103,0.03991265222430229,0.16031818091869354,0.19978150725364685,0.9824029207229614,12.177040338516235
model 61,1,64,100,0.001,128,0.1326257735490799,0.28680235147476196,0.36417821049690247,0.9398645162582397,0.042717527598142624,0.1625186800956726,0.20668219029903412,0.9811663031578064,8.247882843017578
model 62,1,64,100,0.001,32,0.17278967797756195,0.3271883428096771,0.41567978262901306,0.9216532707214355,0.04308862239122391,0.164073184132576,0.20757798850536346,0.9810026288032532,19.118820190429688
model 63,1,64,100,0.001,64,0.13264258205890656,0.28751349449157715,0.36420130729675293,0.9398571848869324,0.04081054404377937,0.1629020869731903,0.2020162045955658,0.9820070862770081,12.085936784744263
model 64,1,64,250,0.0001,128,0.1456165611743927,0.3001011312007904,0.3815973699092865,0.9339744448661804,0.03848767280578613,0.15474548935890198,0.1961827576160431,0.9830312132835388,20.195454359054565
model 65,1,64,250,0.0001,32,0.17454732954502106,0.3300367295742035,0.41778862476348877,0.9208562970161438,0.03752485662698746,0.1539340764284134,0.19371333718299866,0.9834556579589844,45.25146460533142
model 66,1,64,250,0.0001,64,0.14809611439704895,0.30417412519454956,0.38483259081840515,0.9328505396842957,0.04202088341116905,0.16330114006996155,0.204989954829216,0.981473445892334,30.15099811553955
model 67,1,64,250,0.0005,128,0.13106682896614075,0.28504496812820435,0.3620315194129944,0.9405718445777893,0.046178314834833145,0.17042864859104156,0.21489140391349792,0.9796404838562012,19.77550768852234
model 68,1,64,250,0.0005,32,0.15691982209682465,0.31260040402412415,0.39613106846809387,0.9288490414619446,0.039561692625284195,0.1577780395746231,0.1989012062549591,0.9825576543807983,46.40182828903198
model 69,1,64,250,0.0005,64,0.12605707347393036,0.2788211405277252,0.3550451695919037,0.9428431987762451,0.03958743065595627,0.15672245621681213,0.1989659070968628,0.982546329498291,29.510993242263794
