model_name,MF_type,MF_num,learning_rate,batch_size,num_epochs,train_MSE,train_MAE,train_RMSE,train_R2,val_MSE,val_MAE,val_RMSE,val_R2,training_time
model 49,Generalized Bell,3,0.001,32,250,0.0991063192486763,0.2545456886291504,0.3148115575313568,0.9595486521720886,0.09695124626159668,0.24887052178382874,0.31136995553970337,0.9607294201850891,61.91729378700256
model 50,Generalized Bell,4,0.001,32,250,0.096399687230587,0.25053614377975464,0.3104829788208008,0.9606533646583557,0.09265781193971634,0.24368193745613098,0.30439746379852295,0.9624685049057007,109.61949133872986
model 51,Generalized Bell,5,0.001,32,250,0.09511901438236237,0.24923817813396454,0.30841371417045593,0.9611764550209045,0.09145145863294601,0.24238978326320648,0.30240941047668457,0.9629571437835693,199.23453664779663
model 52,Smoothed Triangular,3,0.001,32,250,0.48115500807762146,0.5689285397529602,0.693653404712677,0.8036117553710938,0.45085224509239197,0.551499605178833,0.6714553236961365,0.8173800706863403,68.60875272750854
model 53,Smoothed Triangular,4,0.001,32,250,20.558290481567383,4.255387306213379,4.534125328063965,-7.391105651855469,20.729366302490234,4.273242473602295,4.552951335906982,-7.396533012390137,117.69743299484253
model 54,Smoothed Triangular,5,0.001,32,250,0.10651303082704544,0.2639860510826111,0.32636335492134094,0.9565256237983704,0.10348998010158539,0.2570696175098419,0.3216985762119293,0.9580808877944946,208.94200015068054
model 55,Gaussian,3,0.0001,64,250,0.40813231468200684,0.5439125299453735,0.6388523578643799,0.8334176540374756,0.39412978291511536,0.5317038297653198,0.627797544002533,0.8403555154800415,37.53830933570862
model 56,Gaussian,4,0.0001,64,250,1.243921160697937,1.067623496055603,1.115312099456787,0.4922819137573242,1.2089062929153442,1.0532898902893066,1.0995028018951416,0.5103257894515991,83.20035076141357
model 57,Gaussian,5,0.0001,64,250,1.2732791900634766,1.082664132118225,1.12839674949646,0.4802970886230469,1.2413997650146484,1.0690423250198364,1.1141811609268188,0.4971640706062317,204.8515167236328
model 58,Generalized Bell,3,0.0001,64,250,0.3529602289199829,0.5181756615638733,0.5941045880317688,0.8559359908103943,0.33415937423706055,0.5042985677719116,0.5780652165412903,0.8646469116210938,40.34807562828064
model 59,Generalized Bell,4,0.0001,64,250,1.2276889085769653,1.0598891973495483,1.108011245727539,0.4989076852798462,1.194372296333313,1.0456745624542236,1.092873454093933,0.5162128210067749,87.96699452400208
model 60,Generalized Bell,5,0.0001,64,250,1.2961686849594116,1.0913933515548706,1.1384940147399902,0.4709557890892029,1.2612226009368896,1.0779246091842651,1.1230416297912598,0.4891347289085388,216.70203518867493
model 61,Smoothed Triangular,3,0.0001,64,250,12.574329376220703,2.6806559562683105,3.546030044555664,-4.132342338562012,13.029510498046875,2.717787265777588,3.6096413135528564,-4.277676105499268,43.35042476654053
model 62,Smoothed Triangular,4,0.0001,64,250,4.448344707489014,1.3880388736724854,2.109109878540039,-0.8156465291976929,4.793674468994141,1.4280824661254883,2.189446210861206,-0.9417046308517456,90.90089631080627
model 63,Smoothed Triangular,5,0.0001,64,250,18.966474533081055,4.069335460662842,4.355051517486572,-6.741368770599365,19.193023681640625,4.092117786407471,4.380984306335449,-6.7742414474487305,209.84381675720215
model 64,Gaussian,3,0.0005,64,250,0.10009756684303284,0.2556309401988983,0.3163819909095764,0.959144115447998,0.09539511799812317,0.24743695557117462,0.30886098742485046,0.9613596796989441,38.23035407066345
model 65,Gaussian,4,0.0005,64,250,0.10132744163274765,0.25749126076698303,0.318319708108902,0.9586423635482788,0.09696502983570099,0.24980030953884125,0.3113920986652374,0.9607237577438354,84.88354825973511
model 66,Gaussian,5,0.0005,64,250,0.09912286698818207,0.25445809960365295,0.31483784317970276,0.9595420360565186,0.09604187309741974,0.24670831859111786,0.3099062442779541,0.9610977172851562,210.0977005958557
model 67,Generalized Bell,3,0.0005,64,250,0.09823326766490936,0.2524179518222809,0.3134218752384186,0.9599050879478455,0.0940483808517456,0.24595585465431213,0.3066730797290802,0.9619051814079285,40.590757846832275
model 68,Generalized Bell,4,0.0005,64,250,0.10633315145969391,0.2637535035610199,0.3260876536369324,0.9565989971160889,0.10321693122386932,0.25699496269226074,0.32127392292022705,0.9581913948059082,87.41725206375122
model 69,Generalized Bell,5,0.0005,64,250,0.09696587175130844,0.25164344906806946,0.3113934397697449,0.9604224562644958,0.09301433712244034,0.24423709511756897,0.3049825131893158,0.9623240232467651,226.3358416557312
model 70,Smoothed Triangular,3,0.0005,64,250,0.10666835308074951,0.26412397623062134,0.32660120725631714,0.9564620852470398,0.10357802361249924,0.2574341297149658,0.32183539867401123,0.9580451250076294,43.9549605846405
model 71,Smoothed Triangular,4,0.0005,64,250,1.1058419942855835,0.9987438321113586,1.0515902042388916,0.5486376881599426,1.0730911493301392,0.9840593338012695,1.0359010696411133,0.5653383731842041,91.32635617256165
model 72,Smoothed Triangular,5,0.0005,64,250,3.5133774280548096,1.8128865957260132,1.8744004964828491,-0.4340190887451172,3.488983392715454,1.8055696487426758,1.8678820133209229,-0.4132322072982788,225.86060547828674
model 73,Gaussian,3,0.001,64,250,0.09984010457992554,0.255611389875412,0.3159748613834381,0.9592491388320923,0.09679734706878662,0.248104527592659,0.31112271547317505,0.9607917070388794,38.69315695762634
model 74,Gaussian,4,0.001,64,250,0.09834755212068558,0.25343653559684753,0.3136041462421417,0.9598582983016968,0.09387382864952087,0.2458983063697815,0.30638834834098816,0.9619758725166321,85.15070748329163
model 75,Gaussian,5,0.001,64,250,0.09859199821949005,0.2539743483066559,0.3139936327934265,0.9597586989402771,0.09548960626125336,0.24687378108501434,0.3090139329433441,0.9613214135169983,231.97872519493103
model 76,Generalized Bell,3,0.001,64,250,0.09646447002887726,0.2506639361381531,0.3105872869491577,0.9606268405914307,0.09219025820493698,0.24333146214485168,0.30362847447395325,0.9626578092575073,41.333181381225586
model 77,Generalized Bell,4,0.001,64,250,0.09786834567785263,0.2531953454017639,0.31283918023109436,0.9600541591644287,0.09401450306177139,0.2463626265525818,0.3066178560256958,0.9619188904762268,89.1024534702301
model 78,Generalized Bell,5,0.001,64,250,0.0960313081741333,0.2502974569797516,0.30988919734954834,0.9608036279678345,0.09217426180839539,0.2436039298772812,0.3036021292209625,0.9626643061637878,248.73711228370667
